iter	Passed	Remaining
240	15943	18324
241	16027	18279
242	16101	18221
243	16175	18163
244	16244	18100
245	16315	18040
246	16384	17976
247	16459	17919
248	16523	17851
249	16603	17799
250	16677	17740
251	16753	17684
252	16816	17613
253	16875	17540
254	16929	17461
255	16988	17386
256	17054	17319
257	17143	17276
258	17197	17197
259	17267	17134
260	17342	17076
261	17398	17000
262	17431	16901
263	17505	16842
264	17573	16777
265	17635	16707
266	17701	16640
267	17775	16581
268	17853	16526
269	17916	16456
270	17985	16392
271	18060	16333
272	18125	16266
273	18194	16202
274	18264	16138
275	18308	16053
276	18386	15996
277	18447	15925
278	18515	15861
279	18589	15801
280	18658	15736
281	18724	15670
282	18804	15614
283	18873	15551
284	18941	15485
285	19008	15419
286	19072	15351
287	19130	15278
288	19196	15210
289	19262	15143
290	19308	15061
291	19370	14992
292	19429	14919
293	19492	14851
294	19569	14792
295	19641	14731
296	19709	14665
297	19785	14606
298	19853	14541
299	19923	14477
300	19988	14410
301	20056	14345
302	20133	14285
303	20212	14228
304	20281	14163
305	20354	14101
306	20426	14038
307	20503	13979
308	20576	13917
309	20652	13857
310	20716	13788
311	20783	13722
312	20855	13659
313	20929	13597
314	20998	13532
315	21070	13468
316	21146	13408
317	21218	13345
318	21263	13264
319	21333	13199
320	21408	13138
321	21478	13073
322	21557	13014
323	21630	12951
324	21708	12891
325	21776	12825
326	21858	12767
327	21930	12703
328	22008	12643
329	22075	12576
330	22151	12514
331	22224	12450
332	22298	12388
333	22371	12324
334	22438	12257
335	22515	12195
336	22586	12131
337	22653	12063
338	22724	11998
339	22796	11934
340	22867	11869
341	22942	11806
342	23015	11742
343	23097	11682
344	23177	11622
345	23251	11558
346	23329	11496
347	23407	11434
348	23478	11369
349	23543	11300
350	23603	11230
351	23683	11168
352	23756	11104
353	23833	11041
354	23909	10978
355	23985	10914
356	24062	10851
357	24129	10783
358	24203	10719
359	24280	10656
360	24359	10594
361	24432	10528
362	24508	10464
363	24577	10398
364	24649	10332
365	24724	10267
366	24793	10201
367	24867	10136
368	24930	10066
369	25000	10000
370	25068	9932
371	25145	9869
372	25218	9803
373	25298	9740
374	25370	9674
375	25445	9609
376	25520	9544
377	25593	9479
378	25671	9415
379	25742	9348
380	25817	9283
381	25893	9218
382	25968	9153
383	26048	9089
384	26118	9022
385	26195	8958
386	26282	8896
387	26356	8830
388	26439	8767
389	26511	8701
390	26582	8634
391	26655	8567
392	26729	8501
393	26802	8435
394	26873	8368
395	26944	8301
396	27012	8233
397	27089	8167
398	27159	8100
399	27229	8032
400	27305	7967
401	27378	7900
402	27454	7834
403	27524	7766
404	27595	7699
405	27666	7632
406	27727	7562
407	27803	7496
408	27877	7429
409	27946	7361
410	28013	7293
411	28087	7226
412	28141	7154
413	28218	7088
414	28292	7022
415	28365	6955
416	28438	6887
417	28511	6820
418	28588	6754
419	28660	6687
420	28736	6620
421	28804	6552
422	28873	6484
423	28947	6417
424	29015	6349
425	29094	6283
426	29165	6215
427	29240	6148
428	29311	6081
429	29390	6014
430	29453	5945
431	29520	5876
432	29603	5811
433	29682	5745
434	29758	5678
435	29834	5611
436	29910	5543
437	29992	5478
438	30066	5410
439	30141	5343
440	30211	5274
441	30280	5206
442	30346	5137
443	30423	5070
444	30494	5002
445	30560	4933
446	30637	4866
447	30709	4798
448	30778	4729
449	30853	4662
450	30924	4594
451	30996	4525
452	31069	4458
453	31129	4388
454	31199	4319
455	31270	4251
456	31343	4183
457	31419	4116
458	31492	4048
459	31572	3980
460	31647	3912
461	31720	3844
462	31800	3777
463	31873	3709
464	31942	3640
465	32014	3572
466	32083	3503
467	32157	3435
468	32237	3368
469	32315	3300
470	32377	3230
471	32453	3162
472	32534	3095
473	32606	3026
474	32680	2958
475	32762	2890
476	32840	2822
477	32918	2754
478	32987	2685
479	33052	2616
480	33125	2548
481	33194	2479
482	33268	2410
483	33343	2342
484	33429	2274
485	33506	2206
486	33583	2137
487	33661	2069
488	33736	2000
489	33815	1932
490	33882	1863
491	33947	1793
492	34012	1724
493	34082	1655
494	34158	1587
495	34232	1518
496	34306	1449
497	34371	1380
498	34446	1311
499	34511	1242
500	34588	1173
501	34661	1104
502	34731	1035
503	34810	966
504	34875	897
505	34951	828
506	35022	759
507	35103	691
508	35176	621
509	35257	553
510	35327	483
511	35390	414
512	35461	345
513	35542	276
514	35619	207
515	35697	138
516	35769	69
517	35845	0
