iter	Logloss
0	0.6877811934
1	0.6817294714
2	0.6762291429
3	0.6704781173
4	0.6641070252
5	0.6582344135
6	0.6533445463
7	0.6497302377
8	0.6455192223
9	0.642008775
10	0.6377903919
11	0.6339470761
12	0.630552915
13	0.6278970327
14	0.6251857297
15	0.6222600595
16	0.619886541
17	0.6176196415
18	0.6154991085
19	0.6132104162
20	0.6110731379
21	0.6095688059
22	0.6087238831
23	0.6072261903
24	0.6059766338
25	0.6045726898
26	0.6034371155
27	0.6019103369
28	0.6006313758
29	0.5992580517
30	0.5980619961
31	0.5966296785
32	0.5952823985
33	0.5943555914
34	0.593165907
35	0.5924039169
36	0.5917385632
37	0.5904963624
38	0.589736691
39	0.5887789702
40	0.587812884
41	0.5866249533
42	0.5857796342
43	0.5851599721
44	0.5845115651
45	0.5839681724
46	0.5835658298
47	0.5831300632
48	0.5823428843
49	0.5815476128
50	0.5805849953
51	0.5798559011
52	0.5791460479
53	0.5786619449
54	0.5781144186
55	0.5776892518
56	0.5771498077
57	0.5764944988
58	0.5758977071
59	0.5754912338
60	0.5749318302
61	0.5744327654
62	0.5741017285
63	0.573517068
64	0.5730643313
65	0.5725621883
66	0.5720586316
67	0.5715432116
68	0.571269351
69	0.5708552411
70	0.5705187326
71	0.5702393216
72	0.5697821723
73	0.5697124223
74	0.5692849793
75	0.5687738504
76	0.5683069468
77	0.5679406612
78	0.5676007237
79	0.5671876289
80	0.5668112107
81	0.5664753363
82	0.5644485994
83	0.5642133076
84	0.5638026688
85	0.5634516868
86	0.563270704
87	0.5613814325
88	0.5611141143
89	0.5607697306
90	0.5606373639
91	0.5602920298
92	0.5599682205
93	0.559705496
94	0.5594285474
95	0.5591110732
96	0.5586967496
97	0.5585013741
98	0.5581574051
99	0.5579829188
100	0.5578177268
101	0.5576527921
102	0.5574419399
103	0.5573033025
104	0.5569962213
105	0.556722067
106	0.556603515
107	0.5552988455
108	0.5549880741
109	0.554859758
110	0.5546987115
111	0.5545365983
112	0.554387232
113	0.5539956555
114	0.5538218189
115	0.553628505
116	0.5527771679
117	0.5525943626
118	0.5524628286
119	0.5523395175
120	0.5521153228
121	0.5520450465
122	0.5506140096
123	0.5504696713
124	0.5502140451
125	0.5500617375
126	0.5498976619
127	0.54977283
128	0.5488912357
129	0.5487171161
130	0.5485115437
131	0.5484239857
132	0.5482476346
133	0.5481123322
134	0.5478872813
135	0.5477444478
136	0.5476238846
137	0.5476029435
138	0.5474589167
139	0.547378516
140	0.5472029882
141	0.5471515956
142	0.5470376229
143	0.5468116754
144	0.5467579581
145	0.5466687106
146	0.5465451023
147	0.546393358
148	0.546199878
149	0.5460955914
150	0.5458848943
151	0.5457861228
152	0.5455806563
153	0.5455261912
154	0.5448713945
155	0.544730917
156	0.5446494087
157	0.5445593621
158	0.5444202519
159	0.5442508688
160	0.5442330168
161	0.5441411589
162	0.5440094574
163	0.5439032459
164	0.5437918702
165	0.5437246343
166	0.5435631093
167	0.543459835
168	0.5434563234
169	0.5433604814
170	0.5432197944
171	0.5430642052
172	0.5430147582
173	0.5429371584
174	0.5428350712
175	0.5427956026
176	0.5427142308
177	0.5425871378
178	0.5425003133
179	0.5424239411
180	0.5423835553
181	0.5422952741
182	0.5422323983
183	0.5415659489
184	0.5414546731
185	0.5413440051
186	0.5412803521
187	0.5411612074
188	0.5410448552
189	0.5409603414
190	0.5409396476
191	0.5408673527
192	0.540826812
193	0.5407644291
194	0.5406864278
195	0.5405596451
196	0.5404767195
197	0.5404629273
198	0.5404428382
199	0.5403095629
200	0.5402422209
201	0.5395782163
202	0.5395260214
203	0.539444453
204	0.5393277781
205	0.5393157271
206	0.5392787735
207	0.5392181742
208	0.5390218993
209	0.5389437508
210	0.5388785854
211	0.5387905299
212	0.5387590751
213	0.538690753
214	0.5386455531
215	0.5383285878
216	0.5382424651
217	0.5381581406
218	0.5380349332
219	0.5380001548
220	0.5379318389
221	0.5371377431
222	0.5370885316
223	0.536980965
224	0.5369102105
225	0.5368542855
226	0.536798921
227	0.5367482065
228	0.5366603588
229	0.5365967102
230	0.5365297881
231	0.5365111981
232	0.5364876876
233	0.5364264769
234	0.5363854524
235	0.5363413883
236	0.5363065082
237	0.5355912567
238	0.5355542105
239	0.5355136386
240	0.5354887538
241	0.5354012778
242	0.5353213897
243	0.5352677274
244	0.5352344854
245	0.5351829524
246	0.535111391
247	0.5350429051
248	0.5350113899
249	0.5349706852
250	0.5349286862
251	0.5348894106
252	0.5348723306
253	0.53483193
254	0.5348121156
255	0.5347720723
256	0.5347279344
257	0.5343156988
258	0.534297848
259	0.5342119647
260	0.5340580382
261	0.5340190558
262	0.5340190343
263	0.533948013
264	0.5339294489
265	0.5338907103
266	0.5338514626
267	0.5338113093
268	0.5337407268
269	0.5336395751
270	0.5335918095
271	0.533496916
272	0.5330963244
273	0.5330596995
274	0.5330259825
275	0.5330229842
276	0.5323004263
277	0.5322544043
278	0.5321995343
279	0.5321036272
280	0.5320662127
281	0.5319979165
282	0.5319703477
283	0.5318981834
284	0.5318506067
285	0.5317504901
286	0.5317023992
287	0.5316660207
288	0.5316092521
289	0.531502901
290	0.5314934613
291	0.5314272407
292	0.5314131379
293	0.5313625137
294	0.5313435739
295	0.5312976866
296	0.5312507603
297	0.5307353995
298	0.5306837752
299	0.5305903082
300	0.5305205679
301	0.5304464366
302	0.5301846882
303	0.529406965
304	0.5292832024
305	0.5292577871
306	0.5292077134
307	0.5291251366
308	0.5290663842
309	0.5290399737
310	0.5289795814
311	0.5289351958
312	0.528866814
313	0.5286159286
314	0.5285212987
315	0.52846604
316	0.5278318761
317	0.5277703226
318	0.5277517517
319	0.5276988508
320	0.5273090321
321	0.5272459497
322	0.5270629037
323	0.5269907683
324	0.5269252008
325	0.5268528516
326	0.526457333
327	0.5263697766
328	0.5263379765
329	0.5261769328
330	0.5260491601
331	0.5253274732
332	0.5251462404
333	0.5250546543
334	0.5249975698
335	0.5246528019
336	0.5245954812
337	0.5244709405
338	0.5243668895
339	0.5243073421
340	0.5242343462
341	0.5241378934
342	0.5240504794
343	0.5236596871
344	0.5235912621
345	0.5235176796
346	0.5234377996
347	0.5233440876
348	0.5232806602
349	0.5230782621
350	0.523018273
351	0.5229236768
352	0.5228425025
353	0.5224998472
354	0.5224128681
355	0.5220901462
356	0.5220177802
357	0.521947366
358	0.5218554156
359	0.5217762003
360	0.5211647133
361	0.5210542795
362	0.5208274692
363	0.5207317041
364	0.5206457562
365	0.5205823983
366	0.5204844102
367	0.5204304743
368	0.5203468867
369	0.5202704258
370	0.5201371447
371	0.519726074
372	0.5196310635
373	0.5194487709
374	0.5193930644
375	0.5192914629
376	0.5190346675
377	0.5189697001
378	0.5189215308
379	0.5188659208
380	0.5188140288
381	0.5187492063
382	0.518700776
383	0.5186437297
384	0.5185626124
385	0.5180177965
386	0.5179522629
387	0.517745301
388	0.5174137923
389	0.5173551077
390	0.5173102063
391	0.5172670622
392	0.5172028504
393	0.5171611813
394	0.5171251478
395	0.5170343835
396	0.5169674139
397	0.5169262661
398	0.5168629838
399	0.5168059011
400	0.5167586293
401	0.5166795476
402	0.5166338054
403	0.5165938878
404	0.5164914228
405	0.5164427179
406	0.5163659279
407	0.5163280491
408	0.5161730761
409	0.5161305355
410	0.5160626169
411	0.5160193317
412	0.5159727716
413	0.5159444548
414	0.5158696421
415	0.5157328701
416	0.5156949954
417	0.5156535427
418	0.5155989816
419	0.5155505546
420	0.5155162497
421	0.5154271205
422	0.5153714855
423	0.5153366061
424	0.5152939927
425	0.51524528
426	0.5152000338
427	0.5151687989
428	0.5151136856
429	0.5148620368
430	0.5147981194
431	0.514736395
432	0.5146308618
433	0.5145961234
434	0.5145602988
435	0.5145023389
436	0.5144580345
437	0.5144141222
438	0.5143527173
439	0.514296348
440	0.5140755118
441	0.5140387303
442	0.5139855853
443	0.5138974876
444	0.5138421343
445	0.513793305
446	0.5137228858
447	0.5135611978
448	0.5135059581
449	0.513453876
450	0.5134187951
451	0.5132015368
452	0.5131639663
453	0.5131106633
454	0.5130700869
455	0.5130244151
456	0.5129862605
457	0.5129591399
458	0.5129283214
459	0.5129068404
460	0.5128782937
461	0.5128322697
462	0.5128085199
463	0.5127601947
464	0.5127349586
465	0.5126902691
466	0.5126198472
467	0.512592935
468	0.5125600255
469	0.5124905961
470	0.5124481709
471	0.5122966403
472	0.5118421302
473	0.5118002651
474	0.5117671276
475	0.5117074561
476	0.511672531
477	0.5116472775
478	0.5116115334
479	0.5115678045
480	0.5115434789
481	0.5114959586
482	0.5114702225
483	0.5114386039
484	0.5112622547
485	0.5112382132
486	0.5112133439
487	0.5108682136
488	0.5108058581
489	0.5105243998
490	0.5104679143
491	0.5104271632
492	0.5103684851
493	0.5103063647
494	0.510279752
495	0.5101367371
496	0.5101081219
497	0.5100708848
498	0.510026159
499	0.5099806216
500	0.5099634344
501	0.5099070454
502	0.5098772399
503	0.5097359503
504	0.5097125774
505	0.5096897681
506	0.509660991
507	0.5096072986
508	0.5095821595
509	0.5094416334
510	0.5094074764
511	0.5091770906
512	0.5091498872
513	0.5091324554
514	0.5089574799
515	0.5089370895
516	0.5089110241
517	0.5088719281
